Category,Word
Swedish Lakes,Agunnarydsjön
Swedish Lakes,Ånnsjön
Swedish Lakes,Åresjön
Swedish Lakes,Bolmen
Swedish Lakes,Boren
Swedish Lakes,Bosarpasjön
Swedish Lakes,Dellen
Swedish Lakes,Gammelstadsviken
Swedish Lakes,Norbotten
Swedish Lakes,Glan
Swedish Lakes,Hjälmaren
Swedish Lakes,Ikesjaure
Swedish Lakes,Kedträsket
Swedish Lakes,Lake Immeln
Swedish Lakes,Hornavan
Swedish Lakes,Mälaren
Swedish Lakes,Mien
Swedish Lakes,Roxen
Swedish Lakes,Runn
Swedish Lakes,Siljan
Swedish Lakes,Sommen
Swedish Lakes,Sparren
Swedish Lakes,Storavan
Swedish Lakes,Storvindeln
Swedish Lakes,Storsjön
Swedish Lakes,Torneträsk
Swedish Lakes,Tåkern
Swedish Lakes,Vänern
Swedish Lakes,Lake Väsman
Swedish Lakes,Vättern
Swedish Lakes,Yngen
Flowers,Ek
Flowers,Kungsljus
Flowers,Vildkaprifol
Flowers,Blåklocka
Flowers,Ängsklocka
Flowers,Förgätmigej
Flowers,Murgröna
Flowers,Liljekonvalj
Flowers,Hårginst
Flowers,Lin
Flowers,Mosippa
Flowers,Fjällviol
Flowers,Brunkulla
Flowers,Fjällsippa
Flowers,Gran
Flowers,Smörboll
Flowers,Åkerbär
Flowers,Gullviva
Flowers,Prästkrage
Flowers,Linnea
Flowers,Vit näckros
Flowers,Kungsängslilja
Flowers,Skogsstjärna
Flowers,Kung Karls spira
Flowers,Ljung
Flowers,Mistel
Flowers,Styvmorsviol
Flowers,Ölandssolvända
Flowers,Blåklint
Norwegian Cities,Alta
Norwegian Cities,Arendal
Norwegian Cities,Askim
Norwegian Cities,Bergen
Norwegian Cities,Bodø
Norwegian Cities,Brekstad
Norwegian Cities,Brevik
Norwegian Cities,Brumunddal
Norwegian Cities,Bryne
Norwegian Cities,Brønnøysund
Norwegian Cities,Drammen
Norwegian Cities,Drøbak
Norwegian Cities,Egersund
Norwegian Cities,Elverum
Norwegian Cities,Fagernes
Norwegian Cities,Farsund
Norwegian Cities,Fauske
Norwegian Cities,Finnsnes
Norwegian Cities,Flekkefjord
Norwegian Cities,Florø
Norwegian Cities,Fosnavåg
Norwegian Cities,Fredrikstad
Norwegian Cities,Førde
Norwegian Cities,Gjøvik
Norwegian Cities,Grimstad
Norwegian Cities,Halden[b]
Norwegian Cities,Hamar
Norwegian Cities,Hammerfest
Norwegian Cities,Harstad
Norwegian Cities,Haugesund
Norwegian Cities,Hokksund
Norwegian Cities,Holmestrand
Norwegian Cities,Honningsvåg
Norwegian Cities,Horten
Norwegian Cities,Hønefoss
Norwegian Cities,Jessheim
Norwegian Cities,Jørpeland
Norwegian Cities,Kirkenes
Norwegian Cities,Kolvereid
Norwegian Cities,Kongsberg
Norwegian Cities,Kongsvinger
Norwegian Cities,Kopervik
Norwegian Cities,Kragerø
Norwegian Cities,Kristiansand
Norwegian Cities,Kristiansund
Norwegian Cities,Langesund
Norwegian Cities,Larvik
Norwegian Cities,Leirvik
Norwegian Cities,Leknes
Norwegian Cities,Levanger
Norwegian Cities,Lillehammer
Norwegian Cities,Lillesand
Norwegian Cities,Lillestrøm
Norwegian Cities,Lyngdal
Norwegian Cities,Mandal
Norwegian Cities,Mo i Rana
Norwegian Cities,Moelv
Norwegian Cities,Molde
Norwegian Cities,Mosjøen
Norwegian Cities,Moss
Norwegian Cities,Mysen
Norwegian Cities,Måløy
Norwegian Cities,Namsos
Norwegian Cities,Narvik
Norwegian Cities,Notodden
Norwegian Cities,Odda
Norwegian Cities,Orkanger
Norwegian Cities,Oslo
Norwegian Cities,Otta
Norwegian Cities,Porsgrunn
Norwegian Cities,Raufoss
Norwegian Cities,Risør
Norwegian Cities,Rjukan
Norwegian Cities,Røros[c]
Norwegian Cities,Rørvik
Norwegian Cities,Sandefjord
Norwegian Cities,Sandnes
Norwegian Cities,Sandnessjøen
Norwegian Cities,Sandvika
Norwegian Cities,Sarpsborg
Norwegian Cities,Sauda
Norwegian Cities,Ski
Norwegian Cities,Skien
Norwegian Cities,Skudeneshavn
Norwegian Cities,Sortland
Norwegian Cities,Stathelle
Norwegian Cities,Stavanger
Norwegian Cities,Stavern[d]
Norwegian Cities,Steinkjer
Norwegian Cities,Stjørdalshalsen
Norwegian Cities,Stokmarknes
Norwegian Cities,Svelvik
Norwegian Cities,Svolvær
Norwegian Cities,Tromsø
Norwegian Cities,Trondheim
Norwegian Cities,Tvedestrand
Norwegian Cities,Tønsberg
Norwegian Cities,Ulsteinvik
Norwegian Cities,Vadsø
Norwegian Cities,Vardø
Norwegian Cities,Verdalsøra
Norwegian Cities,Vinstra
Norwegian Cities,Åkrehamn
Norwegian Cities,Ålesund
Norwegian Cities,Åndalsnes
Norwegian Cities,Åsgårdstrand
Swedish Girls Names,Elsa
Swedish Girls Names,Vera
Swedish Girls Names,Alma
Swedish Girls Names,Selma
Swedish Girls Names,Alice
Swedish Girls Names,Signe
Swedish Girls Names,Ellie
Swedish Girls Names,Olivia
Swedish Girls Names,Astrid
Swedish Girls Names,Ella
Swedish Girls Names,Stella
Swedish Girls Names,Freja
Swedish Girls Names,Maja
Swedish Girls Names,Saga
Swedish Girls Names,Alva
Swedish Girls Names,Agnes
Swedish Girls Names,Ebba
Swedish Girls Names,Leah
Swedish Girls Names,Hedda
Swedish Girls Names,Alba
Swedish Girls Names,Iris
Swedish Girls Names,Wilma
Swedish Girls Names,Ines
Swedish Girls Names,Alicia
Swedish Girls Names,Mila
Swedish Girls Names,Luna
Swedish Girls Names,Lilly
Swedish Girls Names,Sigrid
Swedish Girls Names,Elvira
Swedish Girls Names,Leia
Swedish Girls Names,Juni
Swedish Girls Names,Julia
Swedish Girls Names,Hilma
Swedish Girls Names,Clara
Swedish Girls Names,Ester
Swedish Girls Names,Majken
Swedish Girls Names,Molly
Swedish Girls Names,Ellen
Swedish Girls Names,Lykke
Swedish Girls Names,Lily
Swedish Girls Names,Nora
Swedish Girls Names,Ingrid
Swedish Girls Names,Nova
Swedish Girls Names,Edith
Swedish Girls Names,Livia
Swedish Girls Names,Sally
Swedish Girls Names,Lea
Swedish Girls Names,Liv
Swedish Girls Names,Tyra
Swedish Girls Names,Esther
Swedish Girls Names,Emilia
Swedish Girls Names,Sofia
Swedish Girls Names,Cleo
Swedish Girls Names,Ilse
Swedish Girls Names,Hilda
Swedish Girls Names,Ayla
Swedish Girls Names,Elise
Swedish Girls Names,Celine
Swedish Girls Names,Klara
Swedish Girls Names,Elsie
Swedish Girls Names,Amelia
Swedish Girls Names,Mira
Swedish Girls Names,Bonnie
Swedish Girls Names,Emma
Swedish Girls Names,Tuva
Swedish Girls Names,Lova
Swedish Girls Names,Ida
Swedish Girls Names,Märta
Swedish Girls Names,Thea
Swedish Girls Names,Sara
Swedish Girls Names,Stina
Swedish Girls Names,Meja
Swedish Girls Names,Ronja
Swedish Girls Names,Rut
Swedish Girls Names,Idun
Swedish Girls Names,Lo
Swedish Girls Names,Nellie
Swedish Girls Names,Hedvig
Swedish Girls Names,Julie
Swedish Girls Names,Alina
Swedish Girls Names,Eira
Swedish Girls Names,Lovisa
Swedish Girls Names,Inez
Swedish Girls Names,Isabella
Swedish Girls Names,Melina
Swedish Girls Names,Laura
Swedish Girls Names,Linnea
Swedish Girls Names,Svea
Swedish Girls Names,Melissa
Swedish Girls Names,Lovis
Swedish Girls Names,Elin
Swedish Girls Names,Maya
Swedish Girls Names,Millie
Swedish Girls Names,Aurora
Swedish Girls Names,Viola
Swedish Girls Names,Vilma
Swedish Girls Names,Leona
Swedish Girls Names,Freya
Swedish Girls Names,Maria
Swedish Girls Names,Lara
Swedish Boys Names,Noah
Swedish Boys Names,Hugo
Swedish Boys Names,William
Swedish Boys Names,Liam
Swedish Boys Names,Nils
Swedish Boys Names,Elias
Swedish Boys Names,Oliver
Swedish Boys Names,Adam
Swedish Boys Names,August
Swedish Boys Names,Sam
Swedish Boys Names,Alfred
Swedish Boys Names,Otto
Swedish Boys Names,Leo
Swedish Boys Names,Leon
Swedish Boys Names,Frans
Swedish Boys Names,Charlie
Swedish Boys Names,Theo
Swedish Boys Names,Olle
Swedish Boys Names,Harry
Swedish Boys Names,Ludvig
Swedish Boys Names,Arvid
Swedish Boys Names,Malte
Swedish Boys Names,Ebbe
Swedish Boys Names,Lucas
Swedish Boys Names,Elliot
Swedish Boys Names,Tage
Swedish Boys Names,Henry
Swedish Boys Names,Elton
Swedish Boys Names,Gabriel
Swedish Boys Names,Ted
Swedish Boys Names,Adrian
Swedish Boys Names,Walter
Swedish Boys Names,Oscar
Swedish Boys Names,Vincent
Swedish Boys Names,Alexander
Swedish Boys Names,Valter
Swedish Boys Names,Benjamin
Swedish Boys Names,Noel
Swedish Boys Names,Theodor
Swedish Boys Names,Viggo
Swedish Boys Names,Jack
Swedish Boys Names,Axel
Swedish Boys Names,Albin
Swedish Boys Names,Melker
Swedish Boys Names,Levi
Swedish Boys Names,Isak
Swedish Boys Names,Dante
Swedish Boys Names,Matteo
Swedish Boys Names,Lukas
Swedish Boys Names,Hjalmar
Swedish Boys Names,Frank
Swedish Boys Names,Milo
Swedish Boys Names,Ture
Swedish Boys Names,Björn
Swedish Boys Names,Vidar
Swedish Boys Names,Emil
Swedish Boys Names,Kian
Swedish Boys Names,Max
Swedish Boys Names,Melvin
Swedish Boys Names,Love
Swedish Boys Names,Ivar
Swedish Boys Names,Sixten
Swedish Boys Names,Julian
Swedish Boys Names,Louie
Swedish Boys Names,Edvin
Swedish Boys Names,Colin
Swedish Boys Names,Sigge
Swedish Boys Names,Aron
Swedish Boys Names,Gustav
Swedish Boys Names,Folke
Swedish Boys Names,Loke
Swedish Boys Names,Milton
Swedish Boys Names,Alve
Swedish Boys Names,Filip
Swedish Boys Names,Otis
Swedish Boys Names,Aston
Swedish Boys Names,Oskar
Swedish Boys Names,Loui
Swedish Boys Names,Omar
Swedish Boys Names,Samuel
Swedish Boys Names,Alvin
Swedish Boys Names,Ludwig
Swedish Boys Names,Algot
Swedish Boys Names,Erik
Swedish Boys Names,Amir
Swedish Boys Names,Vide
Swedish Boys Names,Knut
Swedish Boys Names,Matheo
Swedish Boys Names,Elis
Swedish Boys Names,Svante
Swedish Boys Names,Philip
Swedish Boys Names,Carl
Swedish Boys Names,Casper
Swedish Boys Names,Ali
Swedish Boys Names,Alvar
Swedish Boys Names,Felix
Swedish Boys Names,Bill
Swedish Boys Names,Wilhelm
Swedish Boys Names,Joel
Swedish Boys Names,Maximilian
Swedish Islands,Gotland
Swedish Islands,Öland
Swedish Islands,Södertörn
Swedish Islands,Orust
Swedish Islands,Hisingen
Swedish Islands,Värmdö
Swedish Islands,Tjörn
Swedish Islands,Väddö
Swedish Islands,Fårö
Swedish Islands,Selaön
Swedish Islands,Gräsö
Swedish Islands,Svartsjölandet
Swedish Islands,Hertsön
Swedish Islands,Alnön
Swedish Islands,Ekerö
Swedish Islands,Tosterön-Aspön
Swedish Islands,Ingarö
Swedish Islands,Ljusterö
Swedish Islands,Torsö
Swedish Islands,Ammerön
Swedish Islands,Björkö
Swedish Islands,Munsö
Animals,Katt
Animals,Hund
Animals,Hamster
Animals,Kanin
Animals,Mus
Animals,Råtta
Animals,Marsvin
Animals,Guldfisk
Animals,Papegoja
Animals,Ko
Animals,Gris
Animals,Får
Animals,Get
Animals,Häst
Animals,Höna
Animals,Kalkon
Animals,Gås
Animals,Anka
Animals,Tupp
Animals,Björn
Animals,Varg
Animals,Rådjur
Animals,Hare
Animals,Räv
Animals,Igelkott
Animals,Ekorre
Animals,Vildsvin
Animals,Groundhog
Animals,Lejon
Animals,Tiger
Animals,Jaguar
Animals,Panter
Animals,Elefant
Animals,Giraff
Animals,Apa
Animals,Gorilla
Animals,Känguru
Animals,Koala
Animals,Panda
Animals,Sengångare
Animals,Säl
Animals,Pingvin
Animals,Isbjörn
Animals,Valross
Animals,Bi
Animals,Geting
Animals,Mygga
Animals,Fluga
Animals,Spindel
Animals,Gräshoppa
Animals,Kackerlacka
Animals,Fjäril
Animals,Myra
Animals,Mal
Animals,Snigel
Animals,Snigel
Animals,Fästing
Animals,Fisk
Animals,Öring
Animals,Gös
Animals,Lax
Animals,Haj
Animals,Delfin
Animals,Val
Animals,Sjölejon
Animals,Manet
Animals,Bläckfisk
Animals,Sjöhäst
Animals,Sjöborre
Animals,Sjöstjärna
Animals,Mussla
Animals,Sjögurka
Animals,Groda
Animals,Padda
Animals,Krokodil
Animals,Ödla
Animals,Sköldpadda
Animals,Havssköldpadda
Animals,Orm
Animals,Duva
Animals,Fiskmås
Animals,Kråka
Animals,Örn
Animals,Duva
Animals,Uggla
Animals,Skata
Animals,Sparv
Animals,Påfågel
